ID,homo_lumo_gap_ev,final_single_point_energy_hartree,homo_energy_ev,lumo_energy_ev,chemical_hardness_eta_ev,electrophilicity_index_omega_ev,dipole_moment_magnitude_debye,electronegativity_chi_ev
DB06940,2.8788,-4932.98049707,-5.0214,-2.1426,1.4394,4.45696957,44.30298819,3.582
DB06948,3.3129,-4689.15578539,-4.7167,-1.4038,1.65645,2.82686772,36.42344174,3.06025
DB06957,2.434,-5833.81743215,-4.1433,-1.7093,1.217,3.51817243,36.57813679,2.9263
DB06963,3.223,-4920.16653462,-4.7033,-1.4803,1.6115,2.96594081,40.11787111,3.0918
DB06964,2.7025,-5321.63975136,-4.7727,-2.0702,1.35125,4.33166331,21.70901531,3.42145
DB06970,2.4288,-6024.04843667,-4.969,-2.5402,1.2144,5.8041095,18.88848414,3.7546
DB06983,2.8062,-4724.81485823,-4.7345,-1.9283,1.4031,3.95489486,32.29115002,3.3314
DB06998,2.6728,-10558.490155,-4.8607,-2.1879,1.3364,4.64707067,28.675364,3.5243
DB07006,1.9208,-5053.8642124,-4.9216,-3.0008,0.9604,8.16904698,33.09960468,3.9612
DB07007,3.3811,-5013.70951887,-5.0056,-1.6245,1.69055,3.25029029,28.6791937,3.31505
DB07008,2.8551,-4932.00877554,-4.7866,-1.9315,1.42755,3.95195156,36.0263467,3.35905
DB07010,3.4977,-5206.50037277,-5.0038,-1.5061,1.74885,3.02904752,37.1141669,3.25495
DB07020,2.9773,-4891.09652825,-4.9672,-1.9899,1.48865,4.06418906,39.90860119,3.47855
DB07031,2.8683,-4989.24086399,-5.0177,-2.1494,1.43415,4.47715741,27.86263433,3.58355
DB07036,3.5756,-4916.39628968,-4.8068,-1.2312,1.7878,2.5490438,20.78936101,3.019
DB07040,2.3859,-4631.719546,-5.013,-2.6271,1.19295,6.11625886,22.41293854,3.82005
DB07042,2.7938,-4815.97399281,-4.9912,-2.1974,1.3969,4.62416511,18.04850412,3.5943
DB07058,2.9481,-5026.17071541,-5.0098,-2.0617,1.47405,4.24053732,40.1151013,3.53575
DB07059,3.6851,-4973.63836214,-5.0085,-1.3234,1.84255,2.71993688,25.43241452,3.16595
DB07061,3.5272,-4683.92120745,-4.5918,-1.0646,1.7636,2.26772376,32.45831386,2.8282
DB07065,2.7011,-6019.81816524,-4.8645,-2.1634,1.35055,4.57141335,34.51064261,3.51395
DB07070,2.7618,-5209.57527651,-5.0121,-2.2503,1.3809,4.77428251,20.93654919,3.6312
DB07073,3.0073,-4806.00488379,-5.0044,-1.9971,1.50365,4.07516728,22.80506236,3.50075
DB07075,2.1737,-4860.95375307,-4.5323,-2.3586,1.08685,5.46125303,27.23398668,3.44545
DB07078,2.0953,-4748.56985596,-4.755,-2.6597,1.04765,6.55965448,30.4079388,3.70735
DB07095,3.6186,-4829.37248866,-4.9973,-1.3787,1.8093,2.80863981,33.58721671,3.188
DB07116,3.9182,-5033.51640413,-4.9756,-1.0574,1.9591,2.32230929,18.82782694,3.0165
DB07124,2.2566,-4895.6362414,-5.0345,-2.7779,1.1283,6.76167617,29.33700504,3.9062
DB07128,3.6402,-5090.76102365,-4.8904,-1.2502,1.8201,2.58962202,35.09519447,3.0703
DB07146,2.7895,-4904.07067418,-4.7594,-1.9699,1.39475,4.05838667,14.04135353,3.36465
DB07149,2.8574,-4594.34475863,-4.9759,-2.1185,1.4287,4.40352343,40.37543275,3.5472
DB07152,2.1682,-4878.26678689,-4.8972,-2.729,1.0841,6.70589964,23.70892942,3.8131
DB07158,3.2108,-4384.39276273,-4.9852,-1.7744,1.6054,3.55769529,23.89025324,3.3798
DB07162,2.8951,-5069.04228416,-4.7299,-1.8348,1.44755,3.72139875,28.11116657,3.28235
DB07165,3.3899,-6236.52272999,-4.9001,-1.5102,1.69495,3.0304689,32.8846064,3.20515
DB07172,3.4795,-4647.36723419,-4.9863,-1.5068,1.73975,3.02919583,30.77817677,3.24655
DB07179,3.0534,-7298.28978213,-4.8193,-1.7659,1.5267,3.55053867,35.99424658,3.2926
DB07180,2.2349,-5074.0250023,-4.8323,-2.5974,1.11745,6.17482237,19.61641995,3.71485
DB07190,3.8006,-5234.778261,-5.0047,-1.2041,1.9003,2.53573103,38.13772966,3.1044
DB07202,2.3174,-5093.59437043,-4.9777,-2.6603,1.1587,6.29358807,46.75580311,3.819
DB07203,3.2496,-5148.75995913,-4.922,-1.6724,1.6248,3.34549724,22.52605905,3.2972
DB07215,2.3574,-5638.849401,-4.9089,-2.5515,1.1787,5.90243151,25.4238119,3.7302
DB07217,2.5469,-4941.93405118,-4.938,-2.3911,1.27345,5.27265566,26.7171164,3.66455
DB07218,2.7825,-4879.81017124,-4.9443,-2.1618,1.39125,4.53698627,29.71383749,3.55305
DB07226,1.8961,-5299.27961023,-4.9098,-3.0137,0.94805,8.27776123,31.27098952,3.96175
DB07227,2.7991,-5301.09408146,-4.9326,-2.1335,1.39955,4.4594485,39.20201845,3.53305
DB07238,2.6307,-5477.34192273,-4.9119,-2.2812,1.31535,4.9170076,39.81706628,3.59655
DB07242,2.8305,-5552.9327687,-4.9719,-2.1414,1.41525,4.46908999,43.94977611,3.55665
DB07249,2.7084,-5552.36266266,-4.7391,-2.0307,1.3542,4.23037513,51.87893929,3.3849
DB07255,3.3122,-5413.40927498,-4.6137,-1.3015,1.6561,2.64096303,38.40321635,2.9576
DB07267,2.3682,-4648.45424026,-4.9271,-2.5589,1.1841,5.91590617,30.91565483,3.743
DB07286,2.5187,-5032.50176519,-4.9883,-2.4696,1.25935,5.52073216,32.12066242,3.72895
DB07294,2.8683,-4989.24086399,-5.0177,-2.1494,1.43415,4.47715741,27.86263433,3.58355
DB07297,2.5736,-4920.11481781,-4.6749,-2.1013,1.2868,4.4603752,19.46931357,3.3881
DB07299,2.1067,-5377.7382707,-5.0012,-2.8945,1.05335,7.39807264,50.0507605,3.94785
DB07311,3.0682,-5166.40996424,-4.8399,-1.7717,1.5341,3.56179963,30.49966439,3.3058
DB07314,2.2608,-5141.93727953,-4.838,-2.5772,1.1304,6.08028033,31.85976187,3.7076
DB07316,3.1389,-5225.50568071,-4.5717,-1.4328,1.56945,2.87154897,22.58731729,3.00225
DB07327,3.1497,-9707.3222578,-4.9805,-1.8308,1.57485,3.68239893,24.77362578,3.40565
DB07330,2.7689,-4558.83558911,-4.5853,-1.8164,1.38445,3.70018445,35.18557931,3.20085
DB07334,2.7448,-5393.92031209,-4.748,-2.0032,1.3724,4.15136817,26.65319601,3.3756
DB07337,2.9099,-5217.54777568,-4.9859,-2.076,1.45495,4.28454858,26.60167355,3.53095
DB07345,3.9264,-4317.76332087,-5.0417,-1.1153,1.9632,2.41370269,27.55481459,3.0785
DB07347,2.7101,-4655.73803369,-5.0537,-2.3436,1.35505,5.04778858,46.05364239,3.69865
DB07352,2.6635,-4595.44281829,-4.9953,-2.3318,1.33175,5.03908339,35.75532216,3.66355
DB07358,2.9773,-5383.63503103,-4.8717,-1.8944,1.48865,3.84409609,25.21155626,3.38305
DB07359,2.6761,-6072.71235589,-4.9576,-2.2815,1.33805,4.89561011,26.14019391,3.61955
DB07366,3.9062,-4749.73624901,-4.975,-1.0688,1.9531,2.3377911,26.46858066,3.0219
DB07390,3.5493,-5366.64765371,-4.8852,-1.3359,1.77465,2.72603649,36.68917421,3.11055
DB07397,2.3763,-5540.72716064,-4.8596,-2.4833,1.18815,5.67249299,29.90224974,3.67145
DB07414,1.9011,-5262.39184719,-5.0432,-3.1421,0.95055,8.81057494,39.72395132,4.09265
DB07415,1.321,-4996.70439916,-4.5501,-3.2291,0.6605,11.4526784,20.50165523,3.8896
DB07431,2.7074,-4858.97116685,-4.6354,-1.928,1.3537,3.97782185,31.94669071,3.2817
DB07451,3.1299,-7401.69842631,-5.1116,-1.9817,1.56495,4.01889077,27.19796582,3.54665
DB07452,3.1909,-4393.2954981,-4.917,-1.7261,1.59545,3.45754941,29.25265134,3.32155
DB07459,3.4565,-4635.23803938,-5.0248,-1.5683,1.72825,3.14400171,19.07409809,3.29655
DB07460,2.4442,-5547.39708839,-4.2121,-1.7679,1.2221,3.6576794,39.39356584,2.99
DB07463,3.3606,-5013.52246258,-4.5595,-1.1989,1.6803,2.4667597,20.33645841,2.8792
DB07474,3.1832,-4949.88774745,-4.9112,-1.728,1.5916,3.46184473,39.30485023,3.3196
DB07488,2.6944,-5125.85847168,-4.5633,-1.8689,1.3472,3.83881354,39.95395332,3.2161
DB07489,2.5305,-5456.86415745,-4.4565,-1.926,1.26525,4.02453134,22.27509875,3.19125
DB07513,2.5913,-5077.78398714,-4.9984,-2.4071,1.29565,5.29091867,18.56567445,3.70275
DB07521,3.0355,-6164.82202151,-4.5487,-1.5132,1.51775,3.02640682,22.57157603,3.03095
DB07548,2.9135,-5193.68586302,-4.6522,-1.7387,1.45675,3.50468533,33.26142461,3.19545
DB07549,2.9031,-5235.3299517,-4.3369,-1.4338,1.45155,2.86770853,49.29007455,2.88535
DB07550,2.4152,-5673.07720752,-4.6757,-2.2605,1.2076,4.98000895,39.82216989,3.4681
DB07556,3.5478,-5279.77086698,-5.0278,-1.48,1.7739,2.9843467,26.34646373,3.2539
DB07562,2.0099,-4972.79931892,-4.3044,-2.2945,1.00495,5.4163741,25.0019301,3.29945
DB07579,3.8753,-5277.97265391,-4.9822,-1.1069,1.93765,2.39188829,11.47115654,3.04455
DB07584,3.0357,-4604.34270209,-4.9511,-1.9154,1.51785,3.88286246,22.67771283,3.43325
DB07585,3.6187,-4894.23359425,-4.7462,-1.1275,1.80935,2.38347692,32.48391286,2.93685
DB07589,3.8262,-5658.39378474,-5.0083,-1.1821,1.9131,2.50385841,38.29023074,3.0952
DB07601,2.7631,-5302.92909334,-4.7601,-1.997,1.38155,4.13108469,23.63475561,3.37855
DB07607,2.8096,-5386.84657017,-4.9882,-2.1786,1.4048,4.57031448,26.17203089,3.5834
DB07607,29.8043,-296.56640053,-23.8628,5.9415,14.90215,2.69401558,0.0,8.96065
DB07616,2.9311,-5130.51948546,-4.9334,-2.0023,1.46555,4.10289094,28.74943297,3.46785
DB07647,2.8719,-4748.15162765,-4.7454,-1.8735,1.43595,3.81366319,20.59333993,3.30945
DB07648,3.024,-4823.36197937,-4.7621,-1.7381,1.512,3.49310516,18.89818241,3.2501
DB07653,2.9001,-4802.73922027,-4.8993,-1.9992,1.45005,4.10238459,18.49354798,3.44925
DB07654,2.8846,-4767.95981373,-4.8109,-1.9263,1.4423,3.93380918,20.36026303,3.3686
DB07655,3.0653,-4708.83137934,-4.6998,-1.6345,1.53265,3.27238415,22.86822112,3.16715
DB07662,2.5826,-7165.66479917,-4.9676,-2.385,1.2913,5.23316878,23.61225856,3.6763
DB07677,3.2332,-4535.51750231,-4.984,-1.7508,1.6166,3.50717022,19.41910039,3.3674
DB07685,2.9784,-5293.06476281,-5.018,-2.0396,1.4892,4.18091238,29.66529223,3.5288
DB07695,3.4181,-9649.825102,-5.0036,-1.5855,1.70905,3.17546582,24.95903012,3.29455
DB07704,2.8735,-4762.03067926,-4.9177,-2.0442,1.43675,4.21681326,26.14478873,3.48095
DB07717,3.711,-5117.41723018,-5.0217,-1.3107,1.8555,2.70138034,36.51175559,3.1662
DB07765,2.1562,-5159.28467335,-4.8363,-2.6801,1.0781,6.55044395,32.14845361,3.7582
DB07769,1.4417,-5182.78929354,-4.9836,-3.5419,0.72085,12.60389649,40.48136842,4.26275
DB07772,3.2517,-5548.29610872,-5.0148,-1.7631,1.62585,3.53199314,16.96782654,3.38895
DB07779,3.9158,-4910.15168849,-5.0731,-1.1573,1.9579,2.47828567,42.12876816,3.1152
DB07781,2.8437,-5107.94462139,-5.0515,-2.2078,1.42185,4.63282313,31.34653974,3.62965
DB07787,2.6041,-4947.03306739,-4.7084,-2.1043,1.30205,4.45575067,35.5710938,3.40635
DB07789,3.6271,-5733.44161561,-4.9782,-1.3511,1.81355,2.76116171,37.04371745,3.16465
DB07791,2.9075,-5216.6180224,-5.001,-2.0935,1.45375,4.327767,23.25844946,3.54725
DB07794,2.478,-4718.56962425,-4.9939,-2.5159,1.239,5.68977967,29.13470509,3.7549
DB07797,3.3329,-5475.28631539,-5.0176,-1.6847,1.66645,3.36949993,41.64761714,3.35115
DB07809,2.2467,-4748.1196449,-4.8952,-2.6485,1.12335,6.33233294,26.20446496,3.77185
DB07840,2.4599,-4909.92957968,-5.0056,-2.5457,1.22995,5.79516766,25.45218434,3.77565
DB07845,2.8268,-5619.99275833,-4.6674,-1.8406,1.4134,3.74576058,29.05012663,3.254
DB07853,2.8076,-4874.59630999,-4.8538,-2.0462,1.4038,4.23938595,15.6814191,3.45
DB07854,2.5608,-4418.62579709,-4.9275,-2.3667,1.2804,5.19421213,28.27661492,3.6471
DB07859,3.5473,-5040.19002443,-4.8584,-1.3111,1.77365,2.68251418,42.16888189,3.08475
DB07864,2.6712,-4604.03012957,-5.0016,-2.3304,1.3356,5.03128032,22.35160414,3.666
DB07877,3.437,-7791.42022881,-4.9924,-1.5554,1.7185,3.11853978,20.40835658,3.2739
DB07891,3.9621,-4872.96291276,-5.0641,-1.102,1.98105,2.39903014,48.81893709,3.08305
DB07901,2.7239,-5016.96047483,-4.9392,-2.2153,1.36195,4.69793956,27.19846352,3.57725
DB07902,2.4942,-5027.66375612,-4.9854,-2.4912,1.2471,5.60295361,26.729996,3.7383
DB07903,2.585,-4952.42124695,-5.0081,-2.4231,1.2925,5.34068989,37.11269805,3.7156
DB07920,2.8791,-4992.04670006,-4.9426,-2.0635,1.43955,4.26222059,31.31241299,3.50305
DB07935,2.3334,-4650.77980701,-4.9989,-2.6655,1.1667,6.29371597,25.28152058,3.8322
DB07937,3.4026,-5175.37259372,-4.688,-1.2854,1.7013,2.62163548,40.02744116,2.9867
DB07949,2.9832,-4801.73190769,-4.9424,-1.9592,1.4916,3.9916937,32.3847436,3.4508
DB07959,3.0775,-4400.18934301,-4.982,-1.9045,1.53875,3.8524681,37.45569091,3.44325
DB07962,3.3977,-5150.99763929,-5.0373,-1.6396,1.69885,3.28023322,19.47296668,3.33845
DB07962,29.8043,-296.56640053,-23.8628,5.9415,14.90215,2.69401558,0.0,8.96065
DB07966,2.9222,-4874.59878512,-4.9483,-2.0261,1.4611,4.16144133,30.53671205,3.4872
DB07968,3.1966,-5190.92922452,-4.9106,-1.714,1.5983,3.43218773,46.3073135,3.3123
DB07970,2.8544,-5121.14420883,-4.9181,-2.0637,1.4272,4.26933254,37.38880238,3.4909
DB07975,2.8124,-5267.10036034,-4.9224,-2.11,1.4062,4.39612517,36.18195662,3.5162
DB07977,2.6396,-5624.77763363,-4.9355,-2.2959,1.3198,4.95275288,36.98372741,3.6157
DB07983,2.7721,-5028.69739275,-4.8957,-2.1236,1.38605,4.4434339,21.72163502,3.50965
DB07983,29.8043,-296.56640053,-23.8628,5.9415,14.90215,2.69401558,0.0,8.96065
DB07988,3.6193,-5862.84677798,-5.0412,-1.4219,1.80965,2.8853412,30.11929084,3.23155
DB07991,3.2952,-4907.9767797,-4.8842,-1.589,1.6476,3.17904211,38.8971392,3.2366
DB08003,3.8117,-5602.23582989,-4.9959,-1.1842,1.90585,2.50502637,7.69753525,3.09005
DB08005,3.1222,-5281.51447751,-4.9785,-1.8563,1.5611,3.74051078,25.9872876,3.4174
DB08006,2.4162,-4686.53646681,-4.9429,-2.5267,1.2081,5.77300349,31.09135618,3.7348
DB08008,3.0004,-4716.37552575,-5.0448,-2.0444,1.5002,4.18750472,34.00920241,3.5446
DB08011,2.056,-4906.70048751,-4.9555,-2.8995,1.028,7.50255654,32.84313454,3.9275
DB08017,2.574,-4557.53149366,-4.4811,-1.9071,1.287,3.96358773,36.0165456,3.1941
DB08021,2.5778,-7686.65399907,-4.5556,-1.9778,1.2889,4.13970397,39.76699679,3.2667
DB08022,2.8774,-5140.01877972,-4.9443,-2.0669,1.4387,4.27094994,53.87265605,3.5056
DB08023,3.004,-4613.91059872,-4.94,-1.936,1.502,3.93470173,19.79396803,3.438
DB08026,2.8987,-4837.95370849,-4.8636,-1.9649,1.44935,4.02149345,33.2377543,3.41425
DB08031,2.9165,-5098.93530717,-4.8436,-1.9271,1.45825,3.92957127,22.85610844,3.38535
DB08035,3.4168,-4615.14471484,-5.0304,-1.6136,1.7084,3.22983025,26.74245983,3.322
DB08036,1.3216,-4649.9144436,-4.8003,-3.4787,0.6608,12.96569329,33.67020544,4.1395
DB08039,2.1344,-5166.35497327,-4.7588,-2.6244,1.0672,6.38489063,16.45074043,3.6916
DB08047,2.989,-4856.74543917,-4.9493,-1.9603,1.4945,3.99318937,21.84902432,3.4548
DB08052,3.0734,-4682.93501566,-4.9415,-1.8681,1.5367,3.77193435,26.76799157,3.4048
DB08053,3.1337,-4725.0177334,-4.8228,-1.6891,1.56685,3.38296914,24.0331082,3.25595
DB08054,2.5885,-4627.59750167,-4.8928,-2.3043,1.29425,5.00272826,25.94263061,3.59855
DB08055,2.9071,-5014.55658191,-4.8447,-1.9376,1.45355,3.9557973,21.36555063,3.39115
DB08058,2.7745,-4923.78071973,-5.0494,-2.2749,1.38725,4.83378721,19.28712708,3.66215
DB08063,1.9886,-4903.35728032,-4.7298,-2.7412,0.9943,7.01697689,42.56465711,3.7355
DB08064,3.5692,-5301.35146804,-5.0401,-1.4709,1.7846,2.96937136,32.0859772,3.2555
DB08066,2.8907,-4646.27003945,-4.8834,-1.9927,1.44535,4.08903996,34.86702751,3.43805
DB08072,2.9369,-5595.10401765,-4.9975,-2.0606,1.46845,4.24059175,25.1002626,3.52905
DB08074,3.3002,-4304.31828447,-4.9418,-1.6416,1.6501,3.28322189,27.6417886,3.2917
DB08077,3.5665,-5629.8906499,-4.9058,-1.3393,1.78325,2.73386191,33.50231845,3.12255
DB08083,2.7989,-5193.34466134,-4.9093,-2.1104,1.39945,4.40138877,24.18292723,3.50985
DB08094,2.6579,-5512.62756104,-5.009,-2.3511,1.32895,5.09528876,23.94388467,3.68005
DB08095,3.2045,-5493.29750176,-4.9918,-1.7873,1.60225,3.58528607,21.18137083,3.38955
DB08096,3.0931,-5363.05017792,-4.7346,-1.6415,1.54655,3.28591471,29.74153752,3.18805
DB08097,3.3031,-5061.87952787,-4.9383,-1.6352,1.65155,3.27048093,34.788094,3.28675
DB08118,2.8466,-5422.92466883,-4.791,-1.9444,1.4233,3.98419282,22.21600583,3.3677
DB08138,2.8964,-4965.06858695,-4.9564,-2.06,1.4482,4.24922913,35.3218398,3.5082
DB08140,3.8345,-4648.40213735,-4.9684,-1.1339,1.91725,2.42783057,31.89016529,3.05115
DB08146,2.8448,-4573.45877995,-5.0143,-2.1695,1.4224,4.53520304,16.55510344,3.5919
DB08166,2.9287,-5054.09278054,-5.0352,-2.1065,1.46435,4.35379852,21.92512633,3.57085
DB08178,3.1916,-4454.56534883,-4.9921,-1.8005,1.5958,3.61412887,23.06079408,3.3963
DB08182,3.1051,-4533.16488472,-4.8549,-1.7498,1.55255,3.51213021,25.75940381,3.30235
DB08197,3.3079,-4863.37533971,-5.0181,-1.7102,1.65395,3.42135652,27.86687797,3.36415
DB08212,2.3995,-5219.26328747,-4.5928,-2.1933,1.19975,4.79799471,30.22199264,3.39305
DB08219,2.4781,-5141.46143804,-4.4739,-1.9958,1.23905,4.2226926,25.73335925,3.23485
DB08220,2.7855,-4990.59259544,-4.9823,-2.1968,1.39275,4.62569349,33.49066228,3.58955
DB08221,2.4149,-5215.52733754,-4.9289,-2.514,1.20745,5.73489176,36.67246755,3.72145
DB08242,3.098,-4818.32282983,-5.0226,-1.9246,1.549,3.89473756,24.2801498,3.4736
DB08247,3.6891,-4576.09427747,-4.9323,-1.2432,1.84455,2.5844244,25.4375205,3.08775
DB08267,2.9901,-4647.52901565,-4.9302,-1.9401,1.49505,3.94644177,25.4167395,3.43515
DB08268,2.9178,-4686.83436002,-4.8681,-1.9503,1.4589,3.98335891,24.74893332,3.4092
DB08273,1.6377,-5043.92381028,-5.0228,-3.3851,0.81885,10.79147317,22.49002817,4.20395
DB08273,29.8043,-296.56640053,-23.8628,5.9415,14.90215,2.69401558,0.0,8.96065
DB08277,3.7989,-5771.92300103,-5.0196,-1.2207,1.89945,2.56267236,38.99555275,3.12015
DB08282,2.0061,-5490.84311855,-5.0033,-2.9972,1.00305,7.97667118,29.28281306,4.00025
DB08284,1.9695,-5328.40405573,-5.0094,-3.0399,0.98475,8.22432476,13.8996981,4.02465
DB08284,29.8043,-296.56640053,-23.8628,5.9415,14.90215,2.69401558,0.0,8.96065
DB08285,3.6628,-4785.00470117,-4.8049,-1.1421,1.8314,2.41391893,25.86763458,2.9735
DB08313,2.3125,-4969.90842575,-5.0074,-2.6949,1.15625,6.41355949,30.08448852,3.85115
DB08314,2.4949,-6861.07059597,-5.0041,-2.5092,1.24745,5.65650696,28.91249157,3.75665
DB08316,2.6261,-4270.09252057,-4.965,-2.3389,1.31305,5.07853425,30.63494735,3.65195
DB08326,1.6963,-5082.6974569,-5.0654,-3.3691,0.84815,10.48470056,32.19809411,4.21725
DB08340,3.294,-4626.3637373,-5.0004,-1.7064,1.647,3.41387115,23.46973584,3.3534
DB08341,2.7702,-5557.260573,-4.523,-1.7528,1.3851,3.55440633,23.97363669,3.1379
DB08349,3.0619,-5193.82598318,-4.8582,-1.7963,1.53095,3.61559573,29.6059016,3.32725
DB08355,2.7531,-4722.70136036,-4.987,-2.2339,1.37655,4.73478958,26.0756192,3.61045
DB08359,2.6878,-4689.08908735,-4.9512,-2.2634,1.3439,4.84136219,39.01983025,3.6073
DB08365,1.7321,-7912.30202147,-4.9111,-3.179,0.86605,9.44658478,37.78412729,4.04505
DB08379,2.6209,-5116.61874142,-5.0238,-2.4029,1.31045,5.2611577,40.66935247,3.71335
DB08392,2.927,-4957.69677376,-4.7395,-1.8125,1.4635,3.66661291,6.94466199,3.276
DB08393,2.736,-4728.68579918,-4.7445,-2.0085,1.368,4.16694161,30.02556057,3.3765
DB08407,2.5277,-5153.75496258,-4.8628,-2.3351,1.26385,5.1242003,34.43247724,3.59895
DB08408,3.9738,-5153.23829639,-5.0309,-1.0571,1.9869,2.33175701,32.46726144,3.044
DB08416,3.8239,-5817.11061915,-4.9047,-1.0808,1.91195,2.34225596,17.14874898,2.99275
DB08437,3.6937,-5256.73045214,-4.8345,-1.1408,1.84685,2.41656131,29.50302624,2.98765
DB08457,3.1469,-5392.11529614,-4.9773,-1.8304,1.57345,3.68178043,23.52148971,3.40385
